"","x"
"work",3.15846877673225
"lesiure",3.47625653612208
"people",3.52529888983775
"money",3.03917371294017
"social",3.53559611484684
"independence",3.39963717852951
"career",3.23936342968496
"future",3.31252718573293
"home",3.45315834400341
"living",3.53750133361784
"location",3.42989756722151
"general",3.51809930592632
"work.1",3.19995374118191
"lesiure.1",3.44640387275242
"people.1",3.563140324623
"money.1",3.03985633182713
"social.1",3.55757715338554
"independence.1",3.47385997236297
"career.1",3.28907699443414
"future.1",3.33582700175336
"home.1",3.47868172389952
"living.1",3.5812133072407
"location.1",3.47379937809513
"general.1",3.5516645547748
"work.2",3.18064431981218
"lesiure.2",3.41190198366394
"people.2",3.51218563650506
"money.2",2.96466155645057
"social.2",3.49429608504019
"independence.2",3.5098598858329
"career.2",3.29891375474414
"future.2",3.37148857967971
"home.2",3.43561146414213
"living.2",3.5429089966295
"location.2",3.39909267660402
"general.2",3.52983138780804
"work.3",3.24588430750642
"lesiure.3",3.45190862639014
"people.3",3.55376990087113
"money.3",3.01688527061661
"social.3",3.52314397354974
"independence.3",3.554169797145
"career.3",3.37286340946907
"future.3",3.41513726679812
"home.3",3.47721461873966
"living.3",3.55410279531109
"location.3",3.4381954887218
"general.3",3.55695822061918
"work.4",3.26533311291122
"lesiure.4",3.44794069192751
"people.4",3.56502389978573
"money.4",2.99818061528283
"social.4",3.51104152933421
"independence.4",3.58311345646438
"career.4",3.38467929544699
"future.4",3.43855260963815
"home.4",3.50816158285243
"living.4",3.53458498023715
"location.4",3.45037916254533
"general.4",3.55167298500082
"work.5",3.19775570272259
"lesiure.5",3.39279180387852
"people.5",3.50905101481075
"money.5",2.98607803627038
"social.5",3.43687191668189
"independence.5",3.52633504023409
"career.5",3.28566169703663
"future.5",3.39778801843318
"home.5",3.44899451553931
"living.5",3.48410087719298
"location.5",3.37927878455061
"general.5",3.50265519135689
"work.6",3.2069177241097
"lesiure.6",3.37494891704128
"people.6",3.49265006124949
"money.6",2.98771498771499
"social.6",3.38222676200204
"independence.6",3.52990406205348
"career.6",3.28946828166701
"future.6",3.39720394736842
"home.6",3.44380874540253
"living.6",3.49050439044313
"location.6",3.38562091503268
"general.6",3.46432222449397
"future.7",3.44588155207624
"work.7",3.2382359627188
"lesiure.7",3.3857822051166
"people.7",3.51536375960235
"money.7",3.01704158145876
"social.7",3.38924050632911
"independence.7",3.55817111815301
"career.7",3.33788085493406
"home.7",3.4664103144085
"living.7",3.48158192090395
"location.7",3.37774259217372
"general.7",3.49264539488572
"future.8",3.40841457157517
"work.8",3.17965755175058
"lesiure.8",3.31033604887984
"people.8",3.44732165524245
"money.8",2.98135852911134
"social.8",3.27975584944049
"independence.8",3.50597508263412
"career.8",3.25462012320329
"home.8",3.4257048514097
"living.8",3.43984771573604
"location.8",3.32104728012201
"general.8",3.42959001782531
"future.9",3.39373412362405
"work.9",3.13946922642575
"lesiure.9",3.29349046015713
"people.9",3.42584805158396
"money.9",2.94895657078398
"social.9",3.24213483146067
"independence.9",3.49032258064516
"career.9",3.20158326265196
"home.9",3.41049382716049
"living.9",3.41591928251121
"location.9",3.31274564851207
"general.9",3.3929173693086
